pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
09,156,2003,13,29.790000000000003
09,156,2005,25,62.449999999999996
09,156,2006,7,18.569999999999997
09,156,2007,33,118.83999999999997
09,156,2008,20,79.89999999999999
09,156,2009,18,52.919999999999995
09,156,2010,4,27.14
09,156,2013,2,1.3
09,156,2014,12,21.549999999999997
09,157,2001,23,48
09,157,2004,14,32.15
09,157,2005,22,30.180000000000003
09,157,2006,1,0.5
09,157,2007,8,17.049999999999997
09,157,2008,9,15.060000000000002
09,157,2009,16,23.57
09,157,2014,2,2.68
09,158,2002,1,0.9
09,158,2003,39,91.07
09,158,2004,5,12.660000000000002
09,158,2005,3,2.47
09,158,2006,32,76.71000000000002
09,158,2007,10,23.8
09,158,2008,12,29.770000000000003
09,158,2009,15,38.42999999999999
09,158,2010,7,14.41
09,158,2011,7,19.75
09,158,2013,14,25.890000000000004
09,158,2014,10,11.34
09,158,2015,2,4.26
09,159,2002,32,45.64000000000001
09,159,2003,14,20.210000000000004
09,159,2004,3,5.2
09,159,2005,9,27.32
09,159,2006,30,55.70000000000001
09,159,2007,22,42.97999999999999
09,159,2008,29,46.08
09,159,2009,19,36.65
09,159,2010,3,5.6
09,159,2012,3,3.55
09,159,2013,1,0.65
09,159,2014,1,1.6
09,160,2003,13,19.160000000000004
09,160,2008,14,17.05
09,160,2009,10,20.25
09,160,2010,11,13.51
09,160,2011,3,2.3600000000000003
09,160,2012,10,19.650000000000002
09,161,2003,7,11.92
09,161,2005,26,42.03
09,161,2006,17,32.91
09,161,2007,24,35.61000000000001
09,161,2008,6,11.83
09,161,2009,10,10.35
09,162,2003,32,51.769999999999996
09,162,2004,4,5.79
09,162,2006,16,27.400000000000002
09,162,2007,9,17.78
09,162,2008,14,24.720000000000002
09,163,2002,46,76.99999999999999
09,163,2005,20,40.24
09,163,2006,4,3.55
09,163,2007,31,40.74000000000001
09,163,2008,9,17.18
09,163,2009,1,2.6
09,163,2014,8,12.12
09,164,2005,1,0.65
