pc11_state_id,pc11_district_id,year,dmsp_total_light_cal,roads_completed,road_length_km,tot_p,sc_share,st_share,lit_rate,lfp_rate,ec_emp_all,ec_count_all,ec_emp_manuf,ec_emp_services,winning_party,incumbent_won
18,320,2009,6144.0634765625,7,26.7,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,16851,8697,2630,14146,INC,Yes
18,320,2010,9960.90234375,6,18.5,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,16851,8697,2630,14146,INC,Yes
18,320,2011,9272.35546875,9,27.55,482162,0.07286969939563881,0.370597434057433,0.5390345983300219,0.40213455228740547,16851,8697,2630,14146,INC,Yes
18,320,2012,9644.7490234375,14,109.55,482162,0.07286969939563881,0.370597434057433,0.5390345983300219,0.40213455228740547,16851,8697,2630,14146,INC,Yes
18,320,2013,9190.0732421875,14,90.25,482162,0.07286969939563881,0.370597434057433,0.5390345983300219,0.40213455228740547,30810,15167,3331,27073,INC,Yes
18,321,1994,9220.489990234377,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,46130,17741,7170,38368,INC,No
18,321,1995,9778.474609375,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,46130,17741,7170,38368,INC,No
18,321,1996,11278.8134765625,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,46130,17741,7170,38368,AGP,No
18,321,1997,9979.6708984375,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,46130,17741,7170,38368,AGP,No
18,321,1998,11042.09130859375,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,AGP,No
18,321,1999,10395.591796875,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,AGP,No
18,321,2000,12785.2060546875,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,AGP,No
18,321,2001,9667.3662109375,NA,NA,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,INC,No
18,321,2002,11525.82568359375,2,1.48,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,INC,No
18,321,2003,10258.0556640625,19,39.43000000000001,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,INC,No
18,321,2004,11788.87841796875,5,10.28,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,117096,24642,28054,82817,INC,No
18,321,2005,11414.9033203125,21,94.73,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,60278,29306,9297,48980,INC,No
18,321,2006,12493.81103515625,21,131.47,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,60278,29306,9297,48980,INC,Yes
18,321,2007,17075.21044921875,21,74.75,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,60278,29306,9297,48980,INC,Yes
18,321,2008,15847.9140625,29,184.41000000000005,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,60278,29306,9297,48980,INC,Yes
18,321,2009,16828.46875,47,330.8200000000001,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,60278,29306,9297,48980,INC,Yes
18,321,2010,22926.36328125,23,121.08,1308163,0.0649842565490692,0.10822428091912094,0.5723285248092173,0.3165209534285865,60278,29306,9297,48980,INC,Yes
18,321,2011,21439.54296875,79,390.40999999999985,1517542,0.07105371712941058,0.11995582329846556,0.6558757517090137,0.4144557448821845,60278,29306,9297,48980,INC,Yes
18,321,2012,22782.50390625,50,192.71000000000004,1517542,0.07105371712941058,0.11995582329846556,0.6558757517090137,0.4144557448821845,60278,29306,9297,48980,INC,Yes
18,321,2013,22407.568359375,34,130.38000000000002,1517542,0.07105371712941058,0.11995582329846556,0.6558757517090137,0.4144557448821845,173259,84521,26816,141150,INC,Yes
18,322,1994,14129.27587890625,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,109001,29714,16497,92008,INC,No
18,322,1995,14861.8681640625,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,109001,29714,16497,92008,INC,No
18,322,1996,15720.271484375,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,109001,29714,16497,92008,AGP,No
18,322,1997,14778.11474609375,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,109001,29714,16497,92008,AGP,No
18,322,1998,15018.216796875,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,AGP,No
18,322,1999,15224.3515625,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,AGP,No
18,322,2000,15150.39501953125,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,AGP,No
18,322,2001,15562.50732421875,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,INC,No
18,322,2002,15970.06298828125,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,INC,No
18,322,2003,15049.21484375,3,2.62,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,INC,No
18,322,2004,16690.7783203125,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,156626,47905,24313,129563,INC,No
18,322,2005,17669.1845703125,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,217703,89203,32404,184670,INC,No
18,322,2006,18222.806640625,2,8.24,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,217703,89203,32404,184670,INC,Yes
18,322,2007,19373.0908203125,NA,NA,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,217703,89203,32404,184670,INC,Yes
18,322,2008,19379.623046875,2,7.5,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,217703,89203,32404,184670,INC,Yes
18,322,2009,21284.80859375,1,7.49,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,217703,89203,32404,184670,INC,Yes
18,322,2010,22660.900390625,1,2.84,1058100,0.071257915130895,0.04914941876949248,0.7340752291843871,0.34987619317644836,217703,89203,32404,184670,INC,Yes
18,322,2011,23119.021484375,6,17.439999999999998,1253938,0.08117546481564479,0.05990806563003912,0.7984374028061993,0.39151218002803967,217703,89203,32404,184670,INC,Yes
18,322,2012,22005.529296875,4,5.7,1253938,0.08117546481564479,0.05990806563003912,0.7984374028061993,0.39151218002803967,217703,89203,32404,184670,INC,Yes
18,322,2013,23401.25390625,6,13.68,1253938,0.08117546481564479,0.05990806563003912,0.7984374028061993,0.39151218002803967,439938,198395,52458,386017,INC,Yes
18,323,1994,2861.801513671875,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,21557,9640,2990,18479,INC,No
18,323,1995,2433.9248046875,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,21557,9640,2990,18479,INC,No
18,323,1996,3560.145751953125,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,21557,9640,2990,18479,AGP,No
18,323,1997,2488.3238525390625,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,21557,9640,2990,18479,AGP,No
18,323,1998,2946.0015869140625,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,AGP,No
18,323,1999,2663.3253173828125,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,AGP,No
18,323,2000,3578.8282470703125,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,AGP,No
18,323,2001,1904.5279541015625,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,INC,No
18,323,2002,2850.5115966796875,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,INC,No
18,323,2003,2583.4478759765625,11,11.94,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,INC,No
18,323,2004,3644.5445556640625,NA,NA,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,42564,15011,7120,35268,INC,No
18,323,2005,3494.444091796875,3,10.19,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,51366,25284,5937,43959,INC,No
18,323,2006,3325.77197265625,13,105.5,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,51366,25284,5937,43959,INC,Yes
18,323,2007,5018.82958984375,15,59.239999999999995,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,51366,25284,5937,43959,INC,Yes
18,323,2008,4710.837890625,11,27.67,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,51366,25284,5937,43959,INC,Yes
18,323,2009,4586.07763671875,32,105.28,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,51366,25284,5937,43959,INC,Yes
18,323,2010,6600.3349609375,10,24.35,689053,0.07236888889533896,0.03309905043588809,0.6233758506239723,0.29909600567735717,51366,25284,5937,43959,INC,Yes
18,323,2011,6299.72705078125,19,63.83,771639,0.07803649115713436,0.03027840738998417,0.6891447943921963,0.34682409779702683,51366,25284,5937,43959,INC,Yes
18,323,2012,6099.1708984375,8,26.58,771639,0.07803649115713436,0.03027840738998417,0.6891447943921963,0.34682409779702683,51366,25284,5937,43959,INC,Yes
18,323,2013,5312.38037109375,8,22.82,771639,0.07803649115713436,0.03027840738998417,0.6891447943921963,0.34682409779702683,97885,53630,11694,83399,INC,Yes
18,324,1994,820.81866455078125,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,9760,4758,823,8878,INC,No
18,324,1995,838.805908203125,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,9760,4758,823,8878,INC,No
18,324,1996,1700.8857421875,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,9760,4758,823,8878,AGP,No
18,324,1997,956.2703857421876,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,9760,4758,823,8878,AGP,No
18,324,1998,1644.3418579101562,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,36367,9836,6314,29455,AGP,No
18,324,1999,1497.805419921875,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,36367,9836,6314,29455,AGP,No
18,324,2000,3407.6004028320312,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,36367,9836,6314,29455,AGP,No
18,324,2001,1149.069091796875,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,36367,9836,6314,29455,INC,No
18,324,2002,3130.827880859375,NA,NA,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,36367,9836,6314,29455,INC,No
18,324,2003,2644.161193847656,16,14,848156,0.06805233942812407,0.3892220299095921,0.4984637260126675,0.38531708789420815,36367,9836,6314,29455,INC,No
